text,label
"﻿ممنون آقا سامان.
من پارسال اصلا آزاد شرکت نکرده بودم و سراسری هم قبول نشدم. فقط میخواستم بدونم شرایط چطوریه واسه سال بعد. مرسی از راهنمایی هاتون.",ham
"﻿سلام آقای کریمی
بالاخره آزمونارشد تموم شد من راحت شدم
یکم راهنمایی می خوام
بهترین مجله ی تخصصی زبان شناسی که بتونم اشتراک بگیرم کدومه؟
و در زمینه ی جامعه شناسی و روانشناسی زبان کتابای خوب و مرجع رو لطفا بهم معرفی کنید. صرفا به خاطر علاقه ی خودم می خوام مطالعه ی آزاد و تخصصی داشته باشم برای کنکور نیست
مرسی
دوستان دیگه هم اگه کمک کنند ممنونمی شم ",ham
﻿درود بر حاج وحیدی بنده بعنوان یک دکتری تاریخ که دستی بر تاریخ محلی هم دارم تمامی موارد ذکر شده توسط این پزو هشگر را طبق اسناد تاریخی متقن میدانم اما تمامی مطالب ارایه شده توسط جناب اقای وحید حاج حسینی که باتوجه به فامیلیشان نباید گلستانی اصیل باشند را جز غرض سیاسی و جانبداری از مسولین سیاسی نمی دانم متاسفانه این دوست عزیز از حافظه خوب تاریخی برخوردار نیستند,ham
"﻿با سلام  و احترام
ضمن تقدیر از مسولین محترم سایت تابناک که رسالت احقاق حقوق هموطنان را  در فضای مجازی سرلوحه اقدامات خود قرارداده اند .  
با توجه به پیگیری های صورت گرفته کارت هدیه نامبرده توسط پست به ایشان تحویل نگردیده بود که مجددا کارت برای نامبرده صادر و از طریق پست برای ایشان ارسال گردید.

باتشکر
روابط عمومی گلدیران(ال جی)",ham
﻿با سلام اینجانب یک دستگاه خودرو پراید 131 با شماره درخواست 7004429 ثبت نام نموده ام با توجه به اینکه تحویل تیر ماه بوده تیر ماه پیش کش الان شهریور ماه هستش ولی هنوز تحویل نگرفتم نمایندگی هم جواب درست حسابی نمی دهند. در واقع می پیچونن صدای ما رو شاید شما پخش کنید البته فقط شاید تابناک جان ,ham
"﻿باسلام واحترام
بازگشت به نامه شماره 113/151/ت مورخ93/05/25درخصوص مشکل مشترک محترم به آگاهی می رساند طبق بررسی های بعمل آمده خط موردنظربا مبلغ پرداختی 73000ریال از ساعت 9:17مورخ93/05/22 تاساعت 9:17مورخ93/05/23 مشمول طرح هدیه(شتاب درپرداخت)شده است.

سعید عسکری
مدیرکل ارتباطات",ham
"﻿با سلام و دورود
از این طریق میخواهم از زحمات و پیگیری های سایت وزین تابناک تشکر کنم به حمدالله مشکل دریافت اینترنت من با فراز و نشیب های فراوان حل گردید که آن هم به لطف پیگری دست اندرکاران محترم سایت تابناک تحقق پیدا کرد.
و من الله توفیق",ham
"﻿دوست عزیزم سامان سلام. قبل از هر چیز به عنوان یک معلمی که از نظر سنی 15-16 سال از شما بزرگتر است و بخشی از عمرش را به کار تعلیم و تربیت جوانانی مانند شما مشغول بوده است به شما افتخار می کنم و از این که برخی مواقع به آنچه که می خواهید و شایستگی اش را دارید دست نمی یابید متاسفم. امیدوارم جامعه ی ما قدر جوانانی مانند شما را بیشتر بداند و از دانش و توانایی شما بیشتر و بهتر استفاده کند.
با بسیاری از سخنان شما موافقم ولی لازم است نکاتی را بیان کنم:
1- در رابطه با قبولی راحت در رشته ی زبان شناسی باید بگویم به دلیل بالا بودن ظرفیت ها و -جسارتا- پایین بودن سطح علمی برخی شرکت کنندگان در بیشتر رشته ها وضع همین طور است. من سال قبل بدون مطالعه در رشته ی ریاضی شرکت کردم و امکان قبولی هم داشتم اما با توجه به این که فکر کردم در آستانه ی 40 سالگی دیگر دماغ ریاضی خواندن را ندارم صرفنظر کردم.
امسال هم بدون حتی یک دقیقه مطالعه هم در رشته ی ادبیات و هم زبان شناسی شرکت کردم. در رشته ی ادبیات رتبه ی خوبی داشتم اما ترجیحم این بود که از گروه زبان شناسی انتخاب رشته کنم. که شبانه قبول شدم.
دوست دیگرم هم در رشته ی جغرافی - طبق اظهارخودش- بدون مطالعه شرکت کرد و آب و هواشناسی روزانه قبول شد.
فکر نمی کنم در رشته های دیگر هم وضع زیاد متفاوت باشد. یک کمی زبان را بالا بزنید و تخصصی ها را هم 25 تا 50 بزنید امکان قبولی در هر رشته ای رادارید. این یعنی قبولی با معلومات عمومی.",ham
"﻿جناب آقای گروسیان عزیز:
چرا فرار از واقعیت، اتفاقاً بیان واقعیت بود و اتفاقاً دعوت از همه‌ی دوستان به واقع بینی....
چرا فرار به جلو، اتفاقاً دعوت به صبر و تامل بیشتر و دقیق‌تر.
تصمیم‌گیری دقیق و همه‌جانبه همراه با تحقیق و پرس و جو.
شما فرمودید تحقیق کردین و تصمیم گرفتین رشته مترجمی رو ادامه بدین. آیا از فارغ‌التحصیلان کارشناسی ارشد مترجمی در خصوص رشته مترجمی سوال کردین؟؟؟ نظر اونها بعد از 3 سال درس خوندن تو مقطع ارشد مترجمی چی بوده؟؟؟
از شغل من سوال کردین... نمی‌دونم این سوال چه اهمیتی براتون داشته!!!!
اگر بدونم بهتر و دقیق تر می تونم جوابتون رو بدم",ham
"﻿سامان گرامی: نکته ی دیگری که یادم رفت بگویم این بود که فرمودید زبان شناسی رشته ی شناخته شده ای نیست. برای من هم پیش آمده. توی همین وقت به چند از نزدیکانم که گفتم شاید بروم زبان شناسی. سریع می گفتند: روانشناسی؟
اما این فکر می کنم در بین عوام باشد. در بین فرهیختگان و تحصیل کردگان فکر نمی کنم اینگونه باشد. نمونه اش همین وبلاگ که خوانندگان زیاد از کسانی که با زبان شناسی درگیر هستند یا نیستند دارد. فکر نمی کنم که در هیچ رشته ی دیگری وبلاگی داشته باشیم که یک نفر آن را به صورت خودجوش به وجود آورده باشد و این قدر رونق داشته باشد. ( البته منظورم وبسایت هایی نیست که رسانه ی موسسات آموزشی هستند یا با صرف تبلیغات و هزینه ی زیاد و ... برای درآمدزایی راه اندازی شده اند.)",ham
